"CCG","Cancer Alliance","STP","Year","Site","Stage 1","Stage 2","Stage 3","Stage 4","Staged - other early","Staged - other advanced","Unstageable","Missing stage","Percentage completeness (%)"
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2017,"Thyroid",6,3,3,2,NA,NA,2,7,60.9
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2017,"Uterus",26,2,5,2,NA,NA,NA,3,92.1
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Oesophagus including cardia and gastroesophageal junction",NA,7,21,21,NA,NA,NA,5,90.7
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Oral cavity, hard palate and lip (inner aspect)",2,NA,3,8,NA,NA,NA,2,86.7
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Oropharynx, base of tongue, tonsil, soft palate and uvula",1,3,3,9,NA,NA,NA,3,84.2
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Other",6,11,17,30,10,NA,100,79,29.2
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Ovary, fallopian tube and primary peritoneal carcinomas",12,1,7,5,NA,NA,1,5,80.6
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2016,"Oesophagus including cardia and gastroesophageal junction",4,7,22,21,NA,NA,NA,5,91.5
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2016,"Oral cavity, hard palate and lip (inner aspect)",4,1,NA,7,NA,NA,NA,1,92.3
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2016,"Oropharynx, base of tongue, tonsil, soft palate and uvula",1,NA,2,5,NA,NA,NA,1,88.9
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2016,"Other",13,13,15,30,18,7,100,45,39.8
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2016,"Ovary, fallopian tube and primary peritoneal carcinomas",11,3,7,8,NA,NA,NA,3,90.6
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Prostate",59,48,19,40,NA,NA,NA,13,92.7
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Rectum and rectosigmoid junction",7,12,24,12,NA,NA,NA,3,94.8
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Kidney, except renal pelvis",14,2,6,13,NA,NA,NA,8,81.4
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Larynx including anterior surface of epiglottis",1,3,1,4,NA,NA,NA,3,75
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Lung",33,13,48,103,NA,NA,NA,31,86.4
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2018,"Ovary, fallopian tube and primary peritoneal carcinomas",7,1,9,10,NA,NA,1,1,93.1
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2018,"Pancreas",3,2,8,23,NA,NA,NA,13,73.5
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Melanoma of skin",26,10,2,3,NA,NA,NA,5,89.1
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Non-Hodgkin lymphoma",6,5,4,17,NA,NA,NA,25,56.1
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Oesophagus including cardia and gastroesophageal junction",2,2,20,17,NA,NA,NA,5,89.1
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Oral cavity, hard palate and lip (inner aspect)",5,NA,NA,5,NA,NA,NA,4,71.4
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2018,"Thyroid",15,1,NA,NA,NA,NA,NA,9,64
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2018,"Uterus",36,3,6,5,NA,NA,NA,NA,100
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Other",8,6,9,19,9,1,123,83,20.2
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Ovary, fallopian tube and primary peritoneal carcinomas",11,2,8,9,NA,NA,1,7,78.9
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Stomach excluding cardia and gastroesophageal junction",1,2,7,9,NA,NA,NA,11,63.3
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Testis",4,2,NA,NA,NA,NA,1,3,60
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Thyroid",1,NA,1,NA,NA,NA,NA,11,15.4
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2017,"Oesophagus including cardia and gastroesophageal junction",3,7,25,23,NA,NA,NA,5,92.1
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2017,"Oral cavity, hard palate and lip (inner aspect)",1,2,2,8,NA,NA,NA,2,86.7
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2017,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,2,6,16,NA,NA,NA,2,92.3
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2017,"Other",8,11,11,36,11,6,97,74,32.7
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2017,"Ovary, fallopian tube and primary peritoneal carcinomas",10,1,15,9,NA,NA,NA,5,87.5
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Prostate",52,39,37,34,NA,NA,NA,21,88.5
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Rectum and rectosigmoid junction",7,11,18,11,NA,NA,NA,12,79.7
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Oropharynx, base of tongue, tonsil, soft palate and uvula",1,1,1,8,NA,NA,NA,2,84.6
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Pancreas",2,5,5,21,NA,NA,NA,11,75
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Pancreas",NA,1,2,18,NA,NA,NA,28,42.9
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2014,"Non-Hodgkin lymphoma",4,11,5,15,NA,NA,NA,14,71.4
"NHS Stoke on Trent CCG","West Midlands","Staffordshire and Stoke on Trent",2013,"Uterus",23,2,6,1,NA,NA,NA,3,91.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Hodgkin lymphoma",2,3,2,2,NA,NA,NA,1,90
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Lung",49,20,62,169,NA,NA,NA,29,91.2
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Kidney, except renal pelvis",20,1,10,12,NA,NA,1,26,61.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Oesophagus including cardia and gastroesophageal junction",2,4,20,22,NA,NA,NA,5,90.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Oral cavity, hard palate and lip (inner aspect)",6,3,1,6,NA,NA,NA,3,84.2
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Melanoma of skin",49,11,3,3,NA,NA,NA,12,84.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Bladder",18,10,1,9,NA,NA,1,8,80.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Breast",112,92,23,12,NA,NA,1,8,96.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Cervix",4,1,NA,1,NA,NA,NA,4,60
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Colon",13,40,29,36,NA,NA,NA,14,89.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Hodgkin lymphoma",NA,1,NA,3,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Kidney, except renal pelvis",22,7,10,21,NA,NA,NA,7,89.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Larynx including anterior surface of epiglottis",3,1,3,3,NA,NA,NA,1,90.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Lung",43,24,46,155,NA,NA,NA,33,89
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Melanoma of skin",79,17,5,2,NA,NA,NA,13,88.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Non-Hodgkin lymphoma",16,7,8,29,NA,NA,NA,3,95.2
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Oesophagus including cardia and gastroesophageal junction",2,3,14,12,NA,NA,NA,13,70.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Oral cavity, hard palate and lip (inner aspect)",6,NA,1,12,NA,NA,NA,2,90.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Oropharynx, base of tongue, tonsil, soft palate and uvula",9,1,2,10,NA,NA,NA,2,91.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Other",30,8,26,31,19,6,117,63,40
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Ovary, fallopian tube and primary peritoneal carcinomas",10,2,10,8,NA,NA,NA,15,66.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Melanoma of skin",67,9,7,3,NA,NA,NA,3,96.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Non-Hodgkin lymphoma",6,3,9,18,NA,NA,NA,1,97.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Oesophagus including cardia and gastroesophageal junction",4,2,15,16,NA,NA,1,4,88.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Oral cavity, hard palate and lip (inner aspect)",5,2,NA,7,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Melanoma of skin",48,5,3,1,NA,NA,NA,5,91.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Non-Hodgkin lymphoma",6,3,9,38,NA,NA,NA,7,88.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Oesophagus including cardia and gastroesophageal junction",2,7,19,14,NA,NA,NA,3,93.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Non-Hodgkin lymphoma",6,6,5,18,NA,NA,NA,9,79.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Larynx including anterior surface of epiglottis",3,1,1,5,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Lung",52,16,66,170,NA,NA,NA,11,96.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Melanoma of skin",71,10,11,4,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Non-Hodgkin lymphoma",10,12,13,25,NA,NA,2,2,93.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Oesophagus including cardia and gastroesophageal junction",1,5,8,20,NA,NA,NA,8,81
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Oral cavity, hard palate and lip (inner aspect)",9,2,NA,12,NA,NA,NA,1,95.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Oropharynx, base of tongue, tonsil, soft palate and uvula",2,1,5,18,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Other",27,17,26,45,3,2,107,77,39.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Ovary, fallopian tube and primary peritoneal carcinomas",9,4,12,7,NA,NA,NA,2,94.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Pancreas",5,6,5,29,NA,NA,NA,7,86.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Larynx including anterior surface of epiglottis",5,3,6,5,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Bladder",25,18,7,9,NA,NA,NA,6,90.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Breast",121,82,23,17,NA,NA,NA,16,93.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Cervix",5,2,2,NA,NA,NA,NA,7,56.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Colon",11,35,28,34,NA,NA,NA,5,95.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Hodgkin lymphoma",1,5,2,4,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Kidney, except renal pelvis",42,4,8,16,NA,NA,NA,6,92.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Larynx including anterior surface of epiglottis",5,1,7,2,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Lung",64,22,83,139,NA,NA,NA,32,90.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Testis",1,NA,NA,NA,NA,NA,NA,10,9.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Thyroid",2,NA,1,2,NA,NA,NA,20,20
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Uterus",24,3,4,5,NA,NA,NA,4,90
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Colon",21,37,33,22,NA,NA,NA,28,80.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Bladder",14,8,3,10,NA,NA,NA,12,74.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Breast",135,87,22,10,NA,NA,1,18,93
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Cervix",3,3,1,NA,NA,NA,NA,3,70
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Colon",13,40,21,35,NA,NA,NA,17,86.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Hodgkin lymphoma",2,1,NA,5,NA,NA,NA,1,88.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Bladder",20,13,1,5,NA,NA,NA,4,90.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Breast",86,85,29,11,NA,NA,1,21,90.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Cervix",3,NA,NA,2,NA,NA,NA,7,41.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Colon",31,29,31,31,NA,NA,1,13,89.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Hodgkin lymphoma",NA,3,1,2,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Kidney, except renal pelvis",29,6,13,11,NA,NA,NA,4,93.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Larynx including anterior surface of epiglottis",3,2,2,2,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Lung",39,19,66,153,NA,NA,NA,17,94.2
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Stomach excluding cardia and gastroesophageal junction",2,5,4,16,NA,NA,NA,4,87.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Testis",9,NA,NA,NA,NA,NA,NA,2,81.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Thyroid",7,2,NA,2,NA,NA,1,5,64.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Uterus",29,8,2,3,NA,NA,NA,6,87.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Stomach excluding cardia and gastroesophageal junction",2,4,1,6,NA,NA,NA,3,81.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Testis",5,NA,NA,NA,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Thyroid",4,1,1,1,NA,NA,1,7,46.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Uterus",31,3,6,5,NA,NA,NA,3,93.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Pancreas",3,8,2,27,NA,NA,NA,8,83.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Prostate",62,29,45,44,NA,NA,1,20,89.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Rectum and rectosigmoid junction",8,13,20,16,NA,NA,1,8,86.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Stomach excluding cardia and gastroesophageal junction",1,7,8,12,NA,NA,NA,4,87.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Testis",2,1,NA,1,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Thyroid",7,NA,3,NA,NA,NA,NA,3,76.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Uterus",23,6,4,2,NA,NA,1,2,92.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Prostate",52,15,58,53,NA,NA,NA,19,90.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Rectum and rectosigmoid junction",24,14,20,15,NA,NA,NA,5,93.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Stomach excluding cardia and gastroesophageal junction",2,3,4,15,NA,NA,NA,3,88.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Testis",2,NA,1,NA,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Thyroid",14,2,1,2,NA,NA,1,1,90.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Uterus",30,3,1,3,NA,NA,NA,1,97.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,3,1,21,NA,NA,NA,2,92.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Other",9,13,18,33,20,1,140,80,29.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Ovary, fallopian tube and primary peritoneal carcinomas",6,3,14,9,NA,NA,NA,1,97
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Pancreas",3,4,1,26,NA,NA,NA,11,75.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Prostate",56,40,26,44,NA,NA,NA,21,88.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Rectum and rectosigmoid junction",9,13,32,11,NA,NA,NA,5,92.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Stomach excluding cardia and gastroesophageal junction",5,6,9,10,NA,NA,NA,5,85.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Testis",10,NA,NA,2,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Thyroid",6,NA,1,2,NA,NA,NA,3,75
"NHS Sunderland CCG","Northern","Cumbria and North East",2015,"Uterus",23,1,5,5,NA,NA,NA,3,91.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Pancreas",3,5,9,36,NA,NA,NA,7,88.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Kidney, except renal pelvis",47,7,4,14,NA,NA,NA,6,92.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Larynx including anterior surface of epiglottis",4,5,3,1,NA,NA,NA,4,76.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Lung",38,36,53,161,NA,NA,NA,19,93.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Melanoma of skin",49,7,NA,1,NA,NA,NA,10,85.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Non-Hodgkin lymphoma",23,7,5,28,NA,NA,NA,2,96.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Pancreas",5,5,5,25,NA,NA,NA,15,72.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Prostate",41,19,66,40,NA,NA,1,51,76.1
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Rectum and rectosigmoid junction",15,18,19,16,NA,NA,NA,8,89.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Bladder",17,17,7,3,NA,NA,NA,5,89.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Breast",94,82,25,16,NA,NA,1,18,91.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Cervix",7,2,NA,2,NA,NA,NA,2,84.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Colon",21,36,35,40,NA,NA,NA,20,86.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Oral cavity, hard palate and lip (inner aspect)",2,1,2,11,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Oropharynx, base of tongue, tonsil, soft palate and uvula",3,3,1,19,NA,NA,NA,1,96.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Other",14,17,16,27,15,2,131,62,32
"NHS Sunderland CCG","Northern","Cumbria and North East",2016,"Ovary, fallopian tube and primary peritoneal carcinomas",16,1,11,3,NA,NA,NA,2,93.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Cervix",2,3,4,NA,NA,NA,NA,13,40.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Colon",12,28,24,29,NA,NA,NA,21,81.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Hodgkin lymphoma",2,2,NA,NA,NA,NA,NA,2,66.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Kidney, except renal pelvis",25,1,12,15,NA,NA,NA,4,93
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Larynx including anterior surface of epiglottis",10,3,NA,4,NA,NA,NA,4,81
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Lung",43,33,47,137,NA,NA,NA,28,90.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Melanoma of skin",50,11,2,1,NA,NA,NA,5,92.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,3,NA,18,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Non-Hodgkin lymphoma",10,3,6,15,NA,NA,NA,3,91.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Oesophagus including cardia and gastroesophageal junction",2,1,13,17,NA,NA,NA,9,78.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Oral cavity, hard palate and lip (inner aspect)",3,2,NA,10,NA,NA,NA,4,78.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Oropharynx, base of tongue, tonsil, soft palate and uvula",1,1,2,13,NA,NA,NA,3,85
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Other",11,12,8,19,7,NA,120,126,18.8
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Prostate",75,27,28,37,NA,NA,NA,14,92.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Rectum and rectosigmoid junction",8,19,22,17,NA,NA,NA,9,88
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Stomach excluding cardia and gastroesophageal junction",2,1,6,13,NA,NA,NA,6,78.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Bladder",28,10,6,4,NA,NA,NA,14,77.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Breast",92,63,19,4,NA,NA,2,71,70.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2019,"Cervix",4,6,2,1,NA,NA,NA,8,61.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Oropharynx, base of tongue, tonsil, soft palate and uvula",1,1,1,10,NA,NA,NA,1,92.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Other",14,6,7,27,6,NA,118,89,22.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Other",15,22,26,31,6,7,116,72,36.3
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Ovary, fallopian tube and primary peritoneal carcinomas",10,3,14,8,NA,NA,NA,8,81.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Hodgkin lymphoma",2,1,2,4,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2018,"Kidney, except renal pelvis",28,4,9,21,NA,NA,NA,1,98.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Prostate",58,21,44,67,NA,NA,1,12,93.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Rectum and rectosigmoid junction",13,5,24,17,NA,NA,NA,2,96.7
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Stomach excluding cardia and gastroesophageal junction",5,3,6,17,NA,NA,NA,4,88.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Testis",9,3,2,NA,NA,NA,NA,NA,100
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Thyroid",5,NA,2,2,NA,NA,NA,3,75
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Oesophagus including cardia and gastroesophageal junction",1,5,20,15,NA,NA,NA,7,85.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Oral cavity, hard palate and lip (inner aspect)",9,NA,2,6,NA,NA,NA,1,94.4
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Ovary, fallopian tube and primary peritoneal carcinomas",9,1,7,8,NA,NA,NA,6,80.6
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Prostate",60,35,33,31,NA,NA,1,11,93
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Ovary, fallopian tube and primary peritoneal carcinomas",15,2,14,6,NA,NA,1,3,90.2
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Pancreas",NA,3,NA,22,NA,NA,NA,16,61
"NHS Sunderland CCG","Northern","Cumbria and North East",2017,"Uterus",30,2,6,2,NA,NA,NA,2,95.2
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Pancreas",NA,2,1,14,NA,NA,NA,26,39.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Bladder",29,16,3,9,NA,NA,NA,6,90.5
"NHS Sunderland CCG","Northern","Cumbria and North East",2013,"Breast",92,79,14,11,NA,NA,4,11,92.9
"NHS Sunderland CCG","Northern","Cumbria and North East",2014,"Rectum and rectosigmoid junction",14,11,35,16,NA,NA,NA,6,92.7
"NHS Surrey Heartlands CCG","Surrey and Sussex","Surrey Heartlands Health and Care Partnership",2016,"Oropharynx, base of tongue, tonsil, soft palate and uvula",5,1,2,32,NA,NA,NA,2,95.2
"NHS Surrey Heartlands CCG","Surrey and Sussex","Surrey Heartlands Health and Care Partnership",2019,"Oral cavity, hard palate and lip (inner aspect)",12,7,6,25,NA,NA,1,14,76.9
"NHS Surrey Heartlands CCG","Surrey and Sussex","Surrey Heartlands Health and Care Partnership",2019,"Larynx including anterior surface of epiglottis",9,4,2,9,NA,NA,1,6,77.4
"NHS Surrey Heartlands CCG","Surrey and Sussex","Surrey Heartlands Health and Care Partnership",2015,"Bladder",61,35,5,17,NA,NA,1,50,69.8
"NHS Surrey Heartlands CCG","Surrey and Sussex","Surrey Heartlands Health and Care Partnership",2019,"Non-Hodgkin lymphoma",19,16,20,70,NA,NA,NA,99,55.8
"NHS Surrey Heartlands CCG","Surrey and Sussex","Surrey Heartlands Health and Care Partnership",2019,"Oesophagus including cardia and gastroesophageal junction",10,12,34,40,NA,NA,2,77,54.9
"NHS Surrey Heartlands CCG","Surrey and Sussex","Surrey Heartlands Health and Care Partnership",2019,"Lung",90,41,72,207,NA,NA,2,154,72.4
"NHS Surrey Heartlands CCG","Surrey and Sussex","Surrey Heartlands Health and Care Partnership",2019,"Oropharynx, base of tongue, tonsil, soft palate and uvula",12,24,12,13,NA,NA,NA,10,85.9
